Store code,the date,Number of sales,Unit cost,Selling price,Store code
1370669,01/01/2015,  1    ,  89    ,  60    ,1275815
1403429,01/01/2015,  1    ,  121    ,  107    ,1270995
1463048,01/01/2015,  2    ,  110    ,  161    ,1156378
1484789,01/01/2015,  1    ,  41    ,  48    ,1153466
101462,02/01/2015,  1    ,  116    ,  144    ,1172849
105122,02/01/2015,  2    ,  75    ,  80    ,1242275
105426,02/01/2015,  1    ,  69    ,  80    ,1153469
1125726,02/01/2015,  2    ,  57    ,  62    ,1149718
1136014,02/01/2015,  1    ,  69    ,  80    ,1153533
1136017,02/01/2015,  2    ,  136    ,  161    ,1161130
1136019,02/01/2015,  1    ,  80    ,  75    ,1169861
1136020,02/01/2015,  1    ,  57    ,  54    ,1161888
1138567,02/01/2015,  1    ,  54    ,  54    ,1153534
1141563,02/01/2015,  4    ,  78    ,  91    ,1421783
1141567,02/01/2015,  1    ,  117    ,  139    ,1160118
1143363,02/01/2015,  2    ,  95    ,  120    ,1460649
1143366,02/01/2015,  1    ,  69    ,  80    ,1216328
1143403,02/01/2015,  2    ,  59    ,  63    ,1153532
1144844,02/01/2015,  3    ,  80    ,  103    ,1279611
1145299,02/01/2015,  4    ,  71    ,  75    ,1166091
1145540,02/01/2015,  5    ,  65    ,  68    ,1147199
1145678,02/01/2015,  1    ,  66    ,  91    ,1156629
1147019,02/01/2015,  3    ,  75    ,  89    ,1204512
1147091,02/01/2015,  1    ,  74    ,  75    ,1267455
1149642,02/01/2015,  1    ,  94    ,  107    ,1319633
1151862,02/01/2015,  1    ,  172    ,  177    ,1147105
1152049,02/01/2015,  1    ,  57    ,  54    ,1145538
1152051,02/01/2015,  2    ,  65    ,  75    ,1145540
1152052,02/01/2015,  1    ,  193    ,  246    ,1295811
1153463,02/01/2015,  1    ,  57    ,  57    ,1319605
1153466,02/01/2015,  1    ,  94    ,  107    ,1147528
1153473,02/01/2015,  1    ,  72    ,  64    ,1456696
1153511,02/01/2015,  1    ,  121    ,  113    ,1147541
1153518,02/01/2015,  1    ,  80    ,  75    ,1180626
1153519,02/01/2015,  3    ,  68    ,  68    ,1147554
1153520,02/01/2015,  1    ,  66    ,  91    ,1431318
1153521,02/01/2015,  2    ,  53    ,  50    ,1145346
1153527,02/01/2015,  1    ,  80    ,  75    ,1145347
1156378,02/01/2015,  1    ,  83    ,  94    ,1305313
1156658,02/01/2015,  1    ,  80    ,  79    ,1184404
1158938,02/01/2015,  2    ,  48    ,  50    ,1153470
1159778,02/01/2015,  4    ,  74    ,  76    ,1153467
1163232,02/01/2015,  2    ,  56    ,  72    ,1151743
1166831,02/01/2015,  1    ,  57    ,  57    ,1151738
1169861,02/01/2015,  1    ,  72    ,  64    ,1153463
1172838,02/01/2015,  1    ,  54    ,  56    ,1356241
1173031,02/01/2015,  1    ,  83    ,  74    ,1153456
1179050,02/01/2015,  1    ,  80    ,  75    ,1204285
1181034,02/01/2015,  1    ,  57    ,  54    ,1153461
1181434,02/01/2015,  2    ,  76    ,  86    ,1503689
1196175,02/01/2015,  2    ,  60    ,  72    ,1423417
1196188,02/01/2015,  2    ,  69    ,  71    ,1153460
1202418,02/01/2015,  1    ,  67    ,  70    ,1319593
1204285,02/01/2015,  3    ,  63    ,  70    ,1147091
1204518,02/01/2015,  1    ,  74    ,  75    ,1348033
1221484,02/01/2015,  1    ,  124    ,  177    ,1232876
1231645,02/01/2015,  2    ,  75    ,  78    ,1143366
1241545,02/01/2015,  1    ,  156    ,  177    ,1143363
1242275,02/01/2015,  1    ,  67    ,  64    ,1143361
1245775,02/01/2015,  1    ,  131    ,  166    ,1172838
1269345,02/01/2015,  1    ,  57    ,  54    ,1153511
1271440,02/01/2015,  1    ,  67    ,  70    ,1153515
1275785,02/01/2015,  1    ,  57    ,  54    ,1174680
1276765,02/01/2015,  1    ,  59    ,  75    ,1178717
1294511,02/01/2015,  1    ,  75    ,  67    ,1269346
1294702,02/01/2015,  2    ,  121    ,  128    ,1460654
1310523,02/01/2015,  2    ,  69    ,  64    ,1269345
1316043,02/01/2015,  1    ,  80    ,  75    ,1153519
1319593,02/01/2015,  1    ,  60    ,  75    ,1279631
1333626,02/01/2015,  1    ,  74    ,  75    ,1294432
1340370,02/01/2015,  1    ,  72    ,  64    ,1423426
1343936,02/01/2015,  1    ,  66    ,  91    ,1499726
1345915,02/01/2015,  1    ,  57    ,  54    ,1153520
1348033,02/01/2015,  2    ,  57    ,  62    ,1153521
1348733,02/01/2015,  3    ,  68    ,  77    ,1160923
1356241,02/01/2015,  2    ,  53    ,  54    ,1176680
1370669,02/01/2015,  2    ,  112    ,  109    ,1181034
1398161,02/01/2015,  2    ,  89    ,  110    ,1276755
1403429,02/01/2015,  3    ,  62    ,  57    ,1196188
1423417,02/01/2015,  1    ,  80    ,  75    ,1196189
1434555,02/01/2015,  2    ,  124    ,  150    ,1196175
1455486,02/01/2015,  2    ,  62    ,  72    ,1363619
1456867,02/01/2015,  1    ,  69    ,  83    ,1456867
1458711,02/01/2015,  1    ,  57    ,  54    ,1147019
1460654,02/01/2015,  3    ,  61    ,  61    ,1156658
1463048,02/01/2015,  1    ,  80    ,  75    ,1398161
1463451,02/01/2015,  2    ,  48    ,  50    ,1343936
1463452,02/01/2015,  1    ,  57    ,  54    ,1226705
1478073,02/01/2015,  1    ,  126    ,  187    ,1152049
1479073,02/01/2015,  1    ,  67    ,  70    ,1434555
101462,03/01/2015,  3    ,  89    ,  102    ,1152210
111687,03/01/2015,  1    ,  48    ,  46    ,1151862
1125040,03/01/2015,  2    ,  72    ,  80    ,1294511
1125726,03/01/2015,  4    ,  61    ,  63    ,1163232
1136014,03/01/2015,  1    ,  87    ,  107    ,1179050
1136017,03/01/2015,  1    ,  167    ,  177    ,1499609
1136019,03/01/2015,  1    ,  69    ,  80    ,1466196
1138567,03/01/2015,  2    ,  77    ,  91    ,1294702
1139627,03/01/2015,  1    ,  69    ,  80    ,1345915
1140597,03/01/2015,  1    ,  89    ,  60    ,1152051
1141327,03/01/2015,  1    ,  48    ,  54    ,1152052
