Date,Price,High,Low,Close
10/16/23, 102.71, 103.47, 66.07, 102.89
10/13/23, 102.89, 103.29, 101.17, 102.67
10/12/23, 106.76, 106.83, 101.41, 102.91
10/11/23, 106.36, 106.86, 103.73, 106.72
10/10/23, 105.16, 106.52, 104.29, 106.37
10/09/23, 106.70, 108.55, 104.30, 105.42
10/06/23, 105.66, 107.57, 102.52, 106.95
10/05/23, 104.89, 105.76, 57.61, 105.64
10/04/23, 103.80, 105.83, 102.79, 104.85
10/03/23, 103.54, 104.85, 102.35, 103.82
10/02/23, 103.61, 104.81, 102.65, 104.15
09/29/23, 101.69, 104.02, 101.15, 103.61
09/28/23, 101.95, 102.78, 101.01, 102.13
09/27/23, 102.13, 102.25, 99.83, 101.96
09/26/23, 100.54, 103.34, 100.35, 102.56
09/25/23, 102.59, 102.76, 100.60, 100.90
09/22/23, 101.49, 102.67, 101.30, 102.55
09/21/23, 102.37, 103.09, 100.68, 102.45
09/20/23, 102.53, 103.89, 102.15, 102.38
09/19/23, 102.58, 104.50, 101.42, 102.51
09/18/23, 103.34, 104.18, 101.62, 103.02
09/15/23, 102.45, 103.81, 101.45, 103.19
09/14/23, 103.22, 104.32, 101.81, 101.91
09/13/23, 103.23, 103.97, 99.58, 103.33
09/12/23, 102.19, 103.37, 99.37, 103.25
09/11/23, 104.61, 104.88, 102.05, 103.79
09/08/23, 105.35, 105.71, 103.56, 104.79
09/07/23, 105.57, 105.73, 104.06, 105.37
09/06/23, 103.75, 105.64, 103.67, 105.54
09/05/23, 104.60, 105.46, 103.56, 103.94
09/04/23, 103.97, 104.87, 103.45, 104.58
09/01/23, 103.96, 104.97, 103.12, 103.90
08/31/23, 105.02, 105.53, 103.38, 103.98
08/30/23, 103.84, 105.52, 103.59, 105.03
08/29/23, 102.23, 104.53, 100.41, 103.82
08/28/23, 102.58, 103.82, 101.59, 102.26
08/25/23, 102.43, 103.46, 101.01, 102.55
08/24/23, 102.12, 103.68, 100.06, 102.43
08/23/23, 102.50, 103.26, 100.55, 102.15
08/22/23, 101.88, 103.41, 101.40, 102.76
08/21/23, 103.53, 103.64, 100.87, 101.87
08/18/23, 102.69, 103.56, 99.88, 102.33
08/17/23, 105.92, 106.05, 99.54, 102.75
08/16/23, 107.96, 108.04, 101.62, 102.82
08/15/23, 105.78, 108.99, 103.58, 106.88
08/14/23, 109.59, 111.80, 105.75, 105.80
08/11/23, 106.89, 109.18, 106.10, 109.00
08/10/23, 106.33, 107.90, 105.26, 106.90
08/09/23, 106.52, 107.92, 105.09, 106.31
08/08/23, 105.21, 106.95, 104.06, 106.51
08/07/23, 105.73, 106.66, 104.30, 105.24
08/04/23, 103.48, 107.42, 99.71, 105.57
08/03/23, 103.15, 105.66, 100.98, 103.46
08/02/23, 101.50, 103.37, 99.94, 103.16
08/01/23, 100.56, 101.53, 99.44, 101.52
07/31/23, 101.40, 101.92, 99.75, 100.56
07/28/23, 99.58, 101.86, 97.73, 101.45
07/27/23, 99.77, 100.72, 98.84, 99.58
07/26/23, 99.78, 100.04, 98.38, 99.78
07/25/23, 100.08, 100.21, 98.23, 100.21
07/24/23, 100.72, 101.38, 98.86, 100.10
07/21/23, 100.65, 101.72, 99.41, 101.26
07/20/23, 102.75, 103.14, 100.51, 101.51
07/19/23, 101.92, 102.83, 101.19, 102.76
07/18/23, 101.55, 102.70, 100.59, 101.91
07/17/23, 101.53, 102.06, 100.74, 101.28
07/14/23, 101.18, 101.83, 100.51, 101.35
07/13/23, 100.74, 101.77, 99.86, 101.19
07/12/23, 99.65, 100.86, 98.66, 100.72
07/11/23, 100.22, 100.29, 98.41, 99.35
07/10/23, 100.14, 104.21, 99.17, 99.63
07/07/23, 99.37, 100.57, 98.04, 100.12
07/06/23, 98.58, 102.71, 97.78, 99.40
07/05/23, 98.99, 99.30, 96.44, 98.13
07/04/23, 97.68, 99.19, 95.96, 99.01
07/03/23, 96.07, 98.11, 95.87, 97.66
06/30/23, 94.36, 98.02, 94.33, 96.93
06/29/23, 93.74, 95.87, 93.54, 94.37
06/28/23, 93.70, 94.75, 92.86, 93.73
06/27/23, 92.05, 93.88, 92.04, 93.68
06/26/23, 91.48, 94.91, 91.09, 92.08
06/23/23, 88.74, 93.18, 88.54, 91.12
06/22/23, 91.91, 92.41, 88.70, 88.73
06/21/23, 91.57, 93.16, 91.20, 92.67
06/20/23, 91.60, 92.65, 90.64, 91.56
06/19/23, 91.34, 92.44, 90.80, 91.59
06/16/23, 91.37, 92.22, 91.14, 91.34
06/15/23, 91.02, 91.62, 89.86, 91.40
06/14/23, 90.62, 92.25, 89.18, 90.99
06/13/23, 90.23, 91.01, 88.81, 90.91
06/12/23, 88.98, 90.30, 88.08, 90.26
06/09/23, 88.42, 89.56, 87.73, 88.93
06/08/23, 87.25, 89.05, 85.99, 88.43
06/07/23, 86.99, 87.88, 85.84, 87.74
06/06/23, 86.34, 87.40, 85.32, 87.27
06/05/23, 86.68, 87.86, 85.64, 86.57
06/02/23, 87.17, 87.67, 86.49, 86.53
06/01/23, 87.18, 87.53, 85.59, 87.18
05/31/23, 85.49, 87.24, 84.73, 87.16
05/30/23, 85.94, 87.26, 80.55, 85.49
05/29/23, 84.77, 86.84, 84.65, 86.29
05/26/23, 85.83, 86.83, 84.72, 84.75
05/25/23, 86.25, 86.41, 84.77, 85.85
05/24/23, 86.35, 86.80, 84.94, 86.66
05/23/23, 87.04, 87.14, 85.83, 86.34
05/22/23, 86.70, 87.13, 85.37, 87.06
